20140825 000000;1997.92;1997.92;1997.92;1997.92;000;
20140822 000000;1988.40;1988.40;1988.40;1988.40;000;
20140821 000000;1992.37;1992.37;1992.37;1992.37;000;
20140820 000000;1986.51;1986.51;1986.51;1986.51;000;
20140819 000000;1981.60;1981.60;1981.60;1981.60;000;
20140818 000000;1971.74;1971.74;1971.74;1971.74;000;
20140815 000000;1955.06;1955.06;1955.06;1955.06;000;
20140814 000000;1955.18;1955.18;1955.18;1955.18;000;
20140813 000000;1946.72;1946.72;1946.72;1946.72;000;
20140812 000000;1933.75;1933.75;1933.75;1933.75;000;
20140811 000000;1936.92;1936.92;1936.92;1936.92;000;
20140808 000000;1931.59;1931.59;1931.59;1931.59;000;
20140807 000000;1909.57;1909.57;1909.57;1909.57;000;
20140806 000000;1920.24;1920.24;1920.24;1920.24;000;
20140805 000000;1920.21;1920.21;1920.21;1920.21;000;
20140804 000000;1938.99;1938.99;1938.99;1938.99;000;
20140801 000000;1925.15;1925.15;1925.15;1925.15;000;
20140731 000000;1930.67;1930.67;1930.67;1930.67;000;
20140730 000000;1970.07;1970.07;1970.07;1970.07;000;
20140729 000000;1969.95;1969.95;1969.95;1969.95;000;
20140728 000000;1978.91;1978.91;1978.91;1978.91;000;
20140725 000000;1978.34;1978.34;1978.34;1978.34;000;
20140724 000000;1987.98;1987.98;1987.98;1987.98;000;
20140723 000000;1987.01;1987.01;1987.01;1987.01;000;
20140722 000000;1983.53;1983.53;1983.53;1983.53;000;
20140721 000000;1973.63;1973.63;1973.63;1973.63;000;
20140718 000000;1978.22;1978.22;1978.22;1978.22;000;
20140717 000000;1958.12;1958.12;1958.12;1958.12;000;
20140716 000000;1981.57;1981.57;1981.57;1981.57;000;
20140715 000000;1973.28;1973.28;1973.28;1973.28;000;
20140714 000000;1977.10;1977.10;1977.10;1977.10;000;
20140711 000000;1967.57;1967.57;1967.57;1967.57;000;
20140710 000000;1964.68;1964.68;1964.68;1964.68;000;
20140709 000000;1972.83;1972.83;1972.83;1972.83;000;
20140708 000000;1963.71;1963.71;1963.71;1963.71;000;
20140707 000000;1977.65;1977.65;1977.65;1977.65;000;
20140703 000000;1985.44;1985.44;1985.44;1985.44;000;
20140702 000000;1974.62;1974.62;1974.62;1974.62;000;
20140701 000000;1973.32;1973.32;1973.32;1973.32;000;
20140630 000000;1960.23;1960.23;1960.23;1960.23;000;
20140627 000000;1960.96;1960.96;1960.96;1960.96;000;
20140626 000000;1957.22;1957.22;1957.22;1957.22;000;
20140625 000000;1959.53;1959.53;1959.53;1959.53;000;
20140624 000000;1949.98;1949.98;1949.98;1949.98;000;
20140623 000000;1962.61;1962.61;1962.61;1962.61;000;
20140620 000000;1962.87;1962.87;1962.87;1962.87;000;
20140619 000000;1959.48;1959.48;1959.48;1959.48;000;
20140618 000000;1956.98;1956.98;1956.98;1956.98;000;
20140617 000000;1941.99;1941.99;1941.99;1941.99;000;
20140616 000000;1937.78;1937.78;1937.78;1937.78;000;
20140613 000000;1936.16;1936.16;1936.16;1936.16;000;
20140612 000000;1930.11;1930.11;1930.11;1930.11;000;
20140611 000000;1943.89;1943.89;1943.89;1943.89;000;
20140610 000000;1950.79;1950.79;1950.79;1950.79;000;
20140609 000000;1951.27;1951.27;1951.27;1951.27;000;
20140606 000000;1949.44;1949.44;1949.44;1949.44;000;
20140605 000000;1940.46;1940.46;1940.46;1940.46;000;
20140604 000000;1927.88;1927.88;1927.88;1927.88;000;
20140603 000000;1924.24;1924.24;1924.24;1924.24;000;
20140602 000000;1924.97;1924.97;1924.97;1924.97;000;
20140530 000000;1923.57;1923.57;1923.57;1923.57;000;
20140529 000000;1920.03;1920.03;1920.03;1920.03;000;
20140528 000000;1909.78;1909.78;1909.78;1909.78;000;
20140527 000000;1911.91;1911.91;1911.91;1911.91;000;
20140523 000000;1900.53;1900.53;1900.53;1900.53;000;
20140522 000000;1892.49;1892.49;1892.49;1892.49;000;
20140521 000000;1888.03;1888.03;1888.03;1888.03;000;
20140520 000000;1872.83;1872.83;1872.83;1872.83;000;
20140519 000000;1885.08;1885.08;1885.08;1885.08;000;
20140516 000000;1877.86;1877.86;1877.86;1877.86;000;
20140515 000000;1870.85;1870.85;1870.85;1870.85;000;
20140514 000000;1888.53;1888.53;1888.53;1888.53;000;
20140513 000000;1897.45;1897.45;1897.45;1897.45;000;
20140512 000000;1896.65;1896.65;1896.65;1896.65;000;
20140509 000000;1878.48;1878.48;1878.48;1878.48;000;
20140508 000000;1875.63;1875.63;1875.63;1875.63;000;
20140507 000000;1878.21;1878.21;1878.21;1878.21;000;
20140506 000000;1867.72;1867.72;1867.72;1867.72;000;
20140505 000000;1884.66;1884.66;1884.66;1884.66;000;
20140502 000000;1881.14;1881.14;1881.14;1881.14;000;
20140501 000000;1883.68;1883.68;1883.68;1883.68;000;
20140430 000000;1883.95;1883.95;1883.95;1883.95;000;
20140429 000000;1878.33;1878.33;1878.33;1878.33;000;
20140428 000000;1869.43;1869.43;1869.43;1869.43;000;
20140425 000000;1863.40;1863.40;1863.40;1863.40;000;
20140424 000000;1878.61;1878.61;1878.61;1878.61;000;
20140423 000000;1875.39;1875.39;1875.39;1875.39;000;
20140422 000000;1879.55;1879.55;1879.55;1879.55;000;
20140421 000000;1871.89;1871.89;1871.89;1871.89;000;
20140417 000000;1864.85;1864.85;1864.85;1864.85;000;
20140416 000000;1862.31;1862.31;1862.31;1862.31;000;
20140415 000000;1842.98;1842.98;1842.98;1842.98;000;
20140414 000000;1830.61;1830.61;1830.61;1830.61;000;
20140411 000000;1815.69;1815.69;1815.69;1815.69;000;
20140410 000000;1833.08;1833.08;1833.08;1833.08;000;
20140409 000000;1872.18;1872.18;1872.18;1872.18;000;
20140408 000000;1851.96;1851.96;1851.96;1851.96;000;
20140407 000000;1845.04;1845.04;1845.04;1845.04;000;
20140404 000000;1865.09;1865.09;1865.09;1865.09;000;
20140403 000000;1888.77;1888.77;1888.77;1888.77;000;
20140402 000000;1890.90;1890.90;1890.90;1890.90;000;
20140401 000000;1885.52;1885.52;1885.52;1885.52;000;
20140331 000000;1872.34;1872.34;1872.34;1872.34;000;
20140328 000000;1857.62;1857.62;1857.62;1857.62;000;
20140327 000000;1849.04;1849.04;1849.04;1849.04;000;
20140326 000000;1852.56;1852.56;1852.56;1852.56;000;
20140325 000000;1865.62;1865.62;1865.62;1865.62;000;
20140324 000000;1857.44;1857.44;1857.44;1857.44;000;
20140321 000000;1866.52;1866.52;1866.52;1866.52;000;
20140320 000000;1872.01;1872.01;1872.01;1872.01;000;
20140319 000000;1860.77;1860.77;1860.77;1860.77;000;
20140318 000000;1872.25;1872.25;1872.25;1872.25;000;
20140317 000000;1858.83;1858.83;1858.83;1858.83;000;
20140314 000000;1841.13;1841.13;1841.13;1841.13;000;
20140313 000000;1846.34;1846.34;1846.34;1846.34;000;
20140312 000000;1868.20;1868.20;1868.20;1868.20;000;
20140311 000000;1867.63;1867.63;1867.63;1867.63;000;
20140310 000000;1877.17;1877.17;1877.17;1877.17;000;
20140307 000000;1878.04;1878.04;1878.04;1878.04;000;
20140306 000000;1877.03;1877.03;1877.03;1877.03;000;
20140305 000000;1873.81;1873.81;1873.81;1873.81;000;
20140304 000000;1873.91;1873.91;1873.91;1873.91;000;
20140303 000000;1845.73;1845.73;1845.73;1845.73;000;
20140228 000000;1859.45;1859.45;1859.45;1859.45;000;
20140227 000000;1854.29;1854.29;1854.29;1854.29;000;
20140226 000000;1845.16;1845.16;1845.16;1845.16;000;
20140225 000000;1845.12;1845.12;1845.12;1845.12;000;
20140224 000000;1847.61;1847.61;1847.61;1847.61;000;
20140221 000000;1836.25;1836.25;1836.25;1836.25;000;
20140220 000000;1839.78;1839.78;1839.78;1839.78;000;
20140219 000000;1828.75;1828.75;1828.75;1828.75;000;
20140218 000000;1840.76;1840.76;1840.76;1840.76;000;
20140214 000000;1838.63;1838.63;1838.63;1838.63;000;
20140213 000000;1829.83;1829.83;1829.83;1829.83;000;
20140212 000000;1819.26;1819.26;1819.26;1819.26;000;
20140211 000000;1819.75;1819.75;1819.75;1819.75;000;
20140210 000000;1799.84;1799.84;1799.84;1799.84;000;
20140207 000000;1797.02;1797.02;1797.02;1797.02;000;
20140206 000000;1773.43;1773.43;1773.43;1773.43;000;
20140205 000000;1751.64;1751.64;1751.64;1751.64;000;
20140204 000000;1755.20;1755.20;1755.20;1755.20;000;
